airline,flight_no,origin,destination,date,departure_time,arrival_time,duration_minutes,capacity,cargo_type,price_per_kg
Emirates,EK201,DEL,DXB,2025-12-20,02:00,06:00,240,12000,General,12
Emirates,EK203,DEL,DXB,2025-12-20,10:00,14:30,270,9000,Pharma,20
Emirates,EK205,DEL,DXB,2025-12-20,22:00,02:30,270,8000,General,10

Qatar Airways,QR571,DEL,DOH,2025-12-20,03:30,06:00,150,7000,General,11
Qatar Airways,QR573,DEL,DOH,2025-12-20,15:00,17:30,150,6500,Pharma,18
Qatar Airways,QR575,DEL,DOH,2025-12-20,23:00,01:30,150,6000,General,9

Qatar Airways,QR017,DOH,LHR,2025-12-20,08:00,13:00,300,9000,General,13
Qatar Airways,QR019,DOH,LHR,2025-12-20,18:00,23:00,300,8500,Pharma,22

Lufthansa,LH761,DEL,FRA,2025-12-20,01:45,07:30,345,10000,General,14
Lufthansa,LH763,DEL,FRA,2025-12-20,13:00,18:45,345,9000,Pharma,21

Lufthansa,LH401,FRA,JFK,2025-12-20,10:00,14:00,480,11000,General,15
Lufthansa,LH403,FRA,JFK,2025-12-20,18:00,22:00,480,9000,High Value,30

British Airways,BA118,DEL,LHR,2025-12-20,09:00,14:30,450,9500,General,16
British Airways,BA120,DEL,LHR,2025-12-20,22:30,04:00,450,8000,High Value,32

KLM,KL872,DEL,AMS,2025-12-20,02:30,07:45,375,7200,General,14
KLM,KL874,DEL,AMS,2025-12-20,14:00,19:15,375,6800,Perishables,19

KLM,KL641,AMS,JFK,2025-12-20,11:00,14:30,450,8000,General,16
KLM,KL643,AMS,JFK,2025-12-20,20:00,23:30,450,7000,Pharma,23

Air India,AI101,DEL,LHR,2025-12-20,07:00,13:00,420,8500,General,13
Air India,AI103,DEL,LHR,2025-12-20,19:00,01:00,420,7000,General,11

Singapore Airlines,SQ403,DEL,SIN,2025-12-20,01:00,07:30,390,7800,General,14
Singapore Airlines,SQ405,DEL,SIN,2025-12-20,13:30,20:00,390,7200,Pharma,20

Singapore Airlines,SQ026,SIN,LAX,2025-12-20,10:00,21:00,660,9500,General,18
Singapore Airlines,SQ028,SIN,LAX,2025-12-20,23:00,10:00,660,8500,High Value,35
